values,id
-9.97,Tazewell County
0.48,Union County
-3.81,Vermilion County
-5.35,Wabash County
0.01,Warren County
1.67,Washington County
-0.12,Wayne County
-0.84,White County
-4.13,Whiteside County
-3.02,Will County
-3,Williamson County
-2.15,Winnebago County
-5.6,Woodford County
-0.29,Adams County
-0.75,Allen County
-4.95,Bartholomew County
3.27,Benton County
-7.73,Blackford County
-0.18,Boone County
-6,Brown County
0.42,Carroll County
-3.64,Cass County
-0.27,Clark County
5.57,Clay County
-2.18,Clinton County
-2.3,Crawford County
-1.85,Daviess County
-3.03,Dearborn County
-2.3,Decatur County
-0.64,DeKalb County
2.41,Delaware County
-2.15,Dubois County
0.04,Elkhart County
2.74,Fayette County
-5.95,Floyd County
-5.78,Fountain County
-0.94,Franklin County
-7.68,Fulton County
-0.66,Gibson County
3.33,Grant County
1.24,Greene County
2.02,Hamilton County
-2.93,Hancock County
1.51,Harrison County
-5.65,Hendricks County
2.19,Henry County
1.4,Howard County
-11.73,Huntington County
-0.4,Jackson County
5.53,Jasper County
-8.9,Jay County
0.72,Jefferson County
-2.26,Jennings County
4.29,Johnson County
0.08,Knox County
-4.14,Kosciusko County
-9.02,LaGrange County
-4.2,Lake County
-0.89,LaPorte County
-8.08,Lawrence County
-0.18,Madison County
1.29,Marion County
5.75,Marshall County
-3.77,Martin County
-0.75,Miami County
-3.3,Monroe County
0.14,Montgomery County
2.39,Morgan County
-3.38,Newton County
-5.14,Noble County
-3.8,Ohio County
-5.89,Orange County
-2.23,Owen County
-10.98,Parke County
-6.48,Perry County
-9.02,Pike County
2.31,Porter County
0.12,Posey County
-0.25,Pulaski County
-3.18,Putnam County
0.45,Randolph County
-2.22,Ripley County
-5.58,Rush County
2.4,Scott County
2.11,Shelby County
-3.23,Spencer County
0.45,St. Joseph County
-3.18,Starke County
-4.77,Steuben County
5.58,Sullivan County
-15.3,Switzerland County
-5.74,Tippecanoe County
-1.83,Tipton County
0.48,Union County
-11.56,Vanderburgh County
-2.8,Vermillion County
-3.3,Vigo County
-5.35,Wabash County
0.01,Warren County
-0.61,Warrick County
1.67,Washington County
-0.12,Wayne County
-1.88,Wells County
-0.84,White County
1.81,Whitley County
0.36,Adair County
-12.33,Allamakee County
7.72,Appanoose County
-24.08,Audubon County
3.27,Benton County
-4.44,Black Hawk County
-0.18,Boone County
-6.34,Bremer County
-0.03,Buchanan County
-1.28,Buena Vista County
3.26,Butler County
-0.95,Calhoun County
0.42,Carroll County
-3.64,Cass County
1.91,Cedar County
-2.32,Cerro Gordo County
7.32,Cherokee County
-6.58,Chickasaw County
-6.57,Clarke County
5.57,Clay County
-7.69,Clayton County
-2.18,Clinton County
-2.3,Crawford County
-5.48,Dallas County
2.3,Davis County
-2.3,Decatur County
2.41,Delaware County
-3.51,Des Moines County
-8.1,Dickinson County
-8.97,Dubuque County
-9.2,Emmet County
2.74,Fayette County
-5.95,Floyd County
-0.94,Franklin County
-1.99,Fremont County
1.24,Greene County
-2.66,Grundy County
-15.64,Guthrie County
2.02,Hamilton County
-2.93,Hancock County
-10.34,Hardin County
1.51,Harrison County
2.19,Henry County
1.4,Howard County
-2.99,Humboldt County
-31.75,Ida County
-7.41,Iowa County
-0.4,Jackson County
5.53,Jasper County
0.72,Jefferson County
4.29,Johnson County
-2.42,Jones County
-38.23,Keokuk County
-4.53,Kossuth County
-6.25,Lee County
3.98,Linn County
-0.17,Louisa County
2.27,Lucas County
-3.13,Lyon County
-0.18,Madison County
-8.9,Mahaska County
1.29,Marion County
5.75,Marshall County
-11.89,Mills County
-20.97,Mitchell County
-15.44,Monona County
-3.3,Monroe County
0.14,Montgomery County
6.2,Muscatine County
-4.2,O'Brien County
-8.32,Osceola County
-6.79,Page County
-17.98,Palo Alto County
2.92,Plymouth County
-22.09,Pocahontas County
-0.89,Polk County
2.24,Pottawattamie County
-2.69,Poweshiek County
-9.05,Sac County
2.4,Scott County
2.11,Shelby County
-1.11,Sioux County
-11.99,Story County
-7.41,Tama County
4.52,Taylor County
0.48,Union County
-2.17,Van Buren County
2.33,Wapello County
0.01,Warren County
1.67,Washington County
-0.12,Wayne County
-6.78,Webster County
-2.15,Winnebago County
-11.36,Winneshiek County
-2.29,Woodbury County
-4.99,Worth County
-1.88,Wright County
-0.75,Allen County
1.92,Anderson County
-10.29,Atchison County
-2.29,Barton County
-6.03,Bourbon County
-6,Brown County
3.26,Butler County
7.32,Cherokee County
5.57,Clay County
-7.77,Cloud County
-17.89,Coffey County
-0.47,Cowley County
-2.3,Crawford County
-8.1,Dickinson County
-13.3,Doniphan County
-3.64,Douglas County
0.66,Ellis County
-13.8,Ellsworth County
-4.06,Finney County
-3.38,Ford County
-0.94,Franklin County
-4.48,Geary County
3.33,Grant County
-2.58,Greenwood County
-0.41,Harvey County
-0.4,Jackson County
0.72,Jefferson County
4.29,Johnson County
-27.91,Kingman County
-0.68,Labette County
-4.1,Leavenworth County
3.98,Linn County
-3.13,Lyon County
1.29,Marion County
5.75,Marshall County
-1.54,McPherson County
-0.75,Miami County
-20.97,Mitchell County
0.14,Montgomery County
-4.48,Morris County
-21.64,Nemaha County
-3.95,Neosho County
-1.39,Osage County
6.23,Ottawa County
-5.25,Pawnee County
-9.24,Pottawatomie County
-1.9,Pratt County
-3.92,Reno County
-7.51,Rice County
-16.77,Riley County
-1.77,Russell County
-4.53,Saline County
2.4,Scott County
1.41,Sedgwick County
-2.87,Seward County
11.2,Shawnee County
-8.62,Sherman County
-3.67,Stevens County
8.58,Sumner County
2.05,Thomas County
7.9,Trego County
-18.77,Wabaunsee County
1.67,Washington County
-0.47,Wilson County
4.28,Wyandotte County
0.36,Adair County
-0.75,Allen County
1.92,Anderson County
-9.5,Ballard County
-1.73,Barren County
-31.32,Bath County
0.64,Bell County
-0.18,Boone County
-6.03,Bourbon County
-4.21,Boyd County
-9.37,Boyle County
-10.91,Bracken County
-7.18,Breathitt County
0.79,Breckinridge County
-3.58,Bullitt County
3.26,Butler County
0.97,Caldwell County
-5.15,Calloway County
3.66,Campbell County
0.42,Carroll County
4.65,Carter County
-4.9,Casey County
-6.88,Christian County
-0.27,Clark County
5.57,Clay County
-2.18,Clinton County
-1.33,Crittenden County
-1.85,Daviess County
-11.05,Edmonson County
-4.45,Estill County
2.74,Fayette County
-9.33,Fleming County
-5.95,Floyd County
-0.94,Franklin County
-7.68,Fulton County
-8.42,Gallatin County
-9.41,Garrard County
3.33,Grant County
-2.02,Graves County
7.18,Grayson County
-4.11,Green County
-4.25,Greenup County
-2.93,Hancock County
-10.34,Hardin County
-2.42,Harlan County
1.51,Harrison County
0.48,Hart County
3.67,Henderson County
2.19,Henry County
-1.9,Hopkins County
-0.4,Jackson County
0.72,Jefferson County
-0.77,Jessamine County
4.29,Johnson County
1,Kenton County
0.08,Knox County
-12.28,Larue County
4,Laurel County
-8.08,Lawrence County
-5.2,Letcher County
-0.82,Lewis County
-0.85,Lincoln County
-2.08,Livingston County
1.79,Logan County
-3.13,Lyon County
-0.18,Madison County
1.29,Marion County
5.75,Marshall County
4.18,Mason County
-8.47,McCracken County
-0.77,McCreary County
-7.18,McLean County
